,id,Account Created At(same for all rows),status created_at,Fav_cont,retweeted_count,reply_to_status,reply_to_screen,quote,Yes/No,Category,text
0,https://twitter.com/CDCemergency/status/1316380062405468160,Wed Jan 28 16:07:50 +0000 2009,10/14/2020 14:07,0,10,repNone,,FALSE,No,,"RT @NIOSH: During storm and flood response, responder safety is extremely important. Storm and flood cleanup activities can be hazardous. Wâ¦"
1,https://twitter.com/CDCemergency/status/1316361518607413250,Wed Jan 28 16:07:50 +0000 2009,10/14/2020 12:53,0,37,repNone,,FALSE,No,,RT @CDCgov: FREE resources for disaster planning from CDC and the American Mosquito Control Association. Check out the latest JAMCA publicaâ¦
2,https://twitter.com/CDCemergency/status/1316139163473850372,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 22:10,41,31,repNone,,FALSE,No,,"Everyone reacts differently to stressful situations. You may feel anxious, angry, sad, or overwhelmed. If you or a loved one is feeling overwhelmed, get support 24/7 by calling 1-800-985-5990 or text TalkWithUs to 66746. #PrepYourHealth #Delta https://t.co/df7YJWopUe"
3,https://twitter.com/CDCemergency/status/1316119903984914436,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 20:53,0,21,repNone,,FALSE,No,,"RT @CDCEnvironment: CDC has important information on safe clean up, chemical hazards, and more when returning home after a #flood. Visit: hâ¦"
4,https://twitter.com/CDCemergency/status/1316110467794952194,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 20:16,0,18,repNone,,FALSE,No,,RT @CDC_NCEZID: FREE webinar 10/14 @ 1PM EST on Natural Disasters + Mosquito Control hosted by CDC &amp; AMCA. Get expert advice and lessons leâ¦
5,https://twitter.com/CDCemergency/status/1316092621031452678,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 19:05,14,13,repNone,,FALSE,No,,Cleaning up after a flood? Properly dispose of any medications that touched floodwater or have changed in appearance or smell. Contact a pharmacist or your healthcare provider if you are unsure about a drug's safety. Learn more: https://t.co/EDsD1pb0rp #PrepYourHealth #Delta https://t.co/0Bg7HWAGbE
6,https://twitter.com/CDCemergency/status/1316020200291004417,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 14:17,0,22,repNone,,FALSE,No,,"RT @CDCEnvironment: Cleaning up after a flood? Wear protective gearârubber boots, rubber gloves, &amp; gogglesâto avoid contact with #flood watâ¦"
7,https://twitter.com/CDCemergency/status/1315993692742746113,Wed Jan 28 16:07:50 +0000 2009,10/13/2020 12:32,0,97,repNone,,FALSE,No,,RT @CDCgov: ICYMI: The first CDC weekly flu surveillance report for the 2020-21 #fluseason was posted on Friday. Keep up with the spread ofâ¦
8,https://twitter.com/CDCemergency/status/1315774502199078914,Wed Jan 28 16:07:50 +0000 2009,10/12/2020 22:01,72,57,repNone,,FALSE,Yes,Outbreak; Prevention,Handwashing is one of the best ways to protect yourself &amp; your family from getting sick with #COVID19. Learn when &amp; how you should wash your hands to #StayHealthy: https://t.co/qWpjbblUMY #PrepYourHealth https://t.co/MyXCgGBHbr
9,https://twitter.com/CDCemergency/status/1315695547601297411,Wed Jan 28 16:07:50 +0000 2009,10/12/2020 16:47,0,90,repNone,,FALSE,No,,"RT @CDCgov: Stay safe after a storm. Use safe water for personal hygiene, and wash your hands with soap and water to reduce the spread of gâ¦"
