id,Account Created At(same for all rows),status created_at,Fav_cont,retweeted_count,reply_to_status,reply_to_screen,quote,Yes/No,Category,text,Labels
https://twitter.com/CDCFLu/status/1316374474971852801,Mon Oct 06 16:50:46 +0000 2008,10/14/2020 13:45,8,5,repNone,,FALSE,No,,"CDC reported one new #flu related pediatric death that happened during the 2019-2020 season, bringing the season total to 189. This surpasses the previous highest recorded number of pediatric deaths, which was 188 &amp; happened during the 2017-2018 season. https://t.co/MSXWAS1vdD https://t.co/i93dHO6xlG",0
https://twitter.com/CDCFLu/status/1316026128717365253,Mon Oct 06 16:50:46 +0000 2008,10/13/2020 14:40,26,17,repNone,,FALSE,No,,"According to the first #FluView report of the 2020-2021 season, flu activity is low nationally. Donât miss out on CDCâs weekly Friday flu surveillance reports: https://t.co/65P8kaIkdK https://t.co/XUlAyTln4G",0
https://twitter.com/CDCFLu/status/1316007285785800706,Mon Oct 06 16:50:46 +0000 2008,10/13/2020 13:26,6,6,repNone,,FALSE,No,,"#Clinicians: New CDC data show that people in some racial and ethnic groups including non-Hispanic Black, Hispanic or Latino, and American Indian or Alaska Natives persons, are at increased risk of being hospitalized with #flu. Learn more: https://t.co/j3FmppwjJA https://t.co/pL5FI3Yyq3",0
https://twitter.com/CDCFLu/status/1315721442110078978,Mon Oct 06 16:50:46 +0000 2008,10/12/20 18:30,6,5,repNone,,FALSE,No,,"Non-Hispanic Black persons had the highest #flu related hospitalization rates over the past 10 seasons compared to other racial/ethnic groups, followed by non-Hispanic American Indian or Alaska Native and Hispanic or Latino persons. Learn more https://t.co/dZL0cbGXwf https://t.co/xxH8CEGUn4",0
https://twitter.com/CDCFLu/status/1315657483797626886,Mon Oct 06 16:50:46 +0000 2008,10/12/20 14:16,33,18,repNone,,FALSE,No,,We know youâre juggling a lot right now and you donât have time to get sick with the flu. Visit https://t.co/bdvA9dR2Yi to find a flu shot near you â itâs a safe &amp; simple way to protect yourself and your loved ones.  #NoTimeForFlu  #FightFlu @AdCouncil @AmerMedicalAssn https://t.co/KtHfmuNse2,0
https://twitter.com/CDCFLu/status/1315308183171235841,Mon Oct 06 16:50:46 +0000 2008,10/11/20 15:08,32,22,repNone,,FALSE,No,,The first #FluView report for the 2020-21 flu  season is out! Keep up with the latest flu surveillance and find out if #flu is spreading in your state. Check it out here: https://t.co/NTH2tX8w1X https://t.co/MfX9G8oFvE,0
https://twitter.com/CDCFLu/status/1314714910593634308,Mon Oct 06 16:50:46 +0000 2008,10/09/20 23:50,0,15,repNone,,FALSE,No,,RT @SpecialOlympics: #DYK: Getting a flu shot is the most important action a person with disabilities can take to prevent flu &amp; its complicâ¦,0
https://twitter.com/CDCFLu/status/1314646824779689984,Mon Oct 06 16:50:46 +0000 2008,10/09/20 19:20,184,125,repNone,,FALSE,No,,"The first #FluView of the season shows flu activity is low across most of the U.S., but CDC it is preparing for flu activity to increase in the coming weeks . For the best protection from flu, get a #fluvaccine by the end of October: https://t.co/0xXf0enXMt https://t.co/d8FvVIrpXy",0
https://twitter.com/CDCFLu/status/1314637767461269504,Mon Oct 06 16:50:46 +0000 2008,10/09/20 18:44,22,22,repNone,,FALSE,No,,"While flu may not yet be circulating in your community, now is a good time to protect yourself and your family with a #fluvaccine. With nearly 124.4 million doses already distributed, the 2020-2021 vaccine is available now. https://t.co/qOCoqw95y6",0
https://twitter.com/CDCFLu/status/1314613613911519235,Mon Oct 06 16:50:46 +0000 2008,10/09/20 17:08,59,43,repNone,,FALSE,No,,New CDC study finds #flu vaccination reduced risk of flu hospitalization for children by 41% &amp; flu-related emergency department visits by half. The best way to prevent flu &amp; potentially serious complications is w/a #fluvaccine. The study: https://t.co/20O6QZsx7s @AmerAcadPeds https://t.co/Q3AIup8gnX,0
https://twitter.com/CDCFLu/status/1314573893038989318,Mon Oct 06 16:50:46 +0000 2008,10/09/20 14:30,205,120,repNone,,FALSE,No,,"October is a good time to get a #fluvaccine. @CDCgov &amp; @NFIDvaccines kicked off the national influenza vaccine campaign. Join us and roll your #sleeveup. Help protect yourself, your family, and your communityâ get vaccinated. https://t.co/v6ALg2dxyI https://t.co/ya31kEofzC",0
