id,Account Created At(same for all rows),status created_at,Fav_cont,retweeted_count,reply_to_status,reply_to_screen,quote,Yes/No,Category,text
https://twitter.com/CDCtravel/status/1316374203243913217,Fri Aug 06 19:29:31 +0000 2010,10/14/2020 13:44,0,0,repNone,,FALSE,Yes,Travel; Outbreak,"If you travel, follow state, local, and territorial travel requirements. For up-to-date information, check state, territorial, tribal and local health departmentsâ guidance where you are, along your route, and where you are going. https://t.co/PEjiUELNbK https://t.co/cET7yJXHV2"
https://twitter.com/CDCtravel/status/1316362921597952001,Fri Aug 06 19:29:31 +0000 2010,10/14/2020 12:59,0,167,repNone,,FALSE,Yes,Prevention,"RT @CDCgov: Handwashing is one of the best ways to protect yourself, your friends, and your family from getting sick. Learn how you shouldâ¦"
https://twitter.com/CDCtravel/status/1316006029851791360,Fri Aug 06 19:29:31 +0000 2010,10/13/2020 13:21,2,1,repNone,,FALSE,No,,"Before you make travel plans, check out this #flu fact: Flu can make chronic health problems worse. #Fluvaccine is the best protection from flu and its potentially serious complications. Find out what groups of people are at high risk for complications: https://t.co/QXFUfW2J3i https://t.co/2X3lkxhaER"
https://twitter.com/CDCtravel/status/1315718385158807552,Fri Aug 06 19:29:31 +0000 2010,10/12/2020 18:18,6,9,repNone,,FALSE,Yes,Travel,"Most destinations have a Level 3 Travel Health Notice. CDC recommends people avoid all nonessential travel to Level 3 destinations. Before you make travel plans, check the #COVID19 risk at your destination: https://t.co/SBxTlr2uJa https://t.co/dG0YIpjSZg"
https://twitter.com/CDCtravel/status/1315330326017777665,Fri Aug 06 19:29:31 +0000 2010,10/11/2020 16:36,3,3,repNone,,FALSE,No,,"Traveling with children? DYK: Everyone 6 months and older should get a #flu vaccine every season. #Fluvaccine can reduce flu illnesses, doctorsâ visits, hospitalizations and has been shown to be life-saving. #FightFlu and get vaccinated today! Learn more: https://t.co/XlT2SfP2Gl https://t.co/jHqYx7OGJF"
https://twitter.com/CDCtravel/status/1314928178067107840,Fri Aug 06 19:29:31 +0000 2010,10/10/2020 13:58,2,2,repNone,,FALSE,Yes,"Prevention, Travel","Know when to delay your travel to #SlowTheSpread of #COVID19. Check these common situations, and talk to your healthcare provider if you are unsure whether any of these apply to you or your travel companions. https://t.co/PN7m52WHg5 https://t.co/KKwWD1cift"
https://twitter.com/CDCtravel/status/1314566421704249344,Fri Aug 06 19:29:31 +0000 2010,10/9/2020 14:00,0,1,repNone,,FALSE,no,,"Before you travel, get your #flu vaccine!  Getting your #fluvaccine is more important than ever this year. Flu vaccine helps to protect you &amp; your loved ones from flu &amp; helps to reduce the burden of flu on hospitals and healthcare systems. Learn more: https://t.co/mpfdhgNjjL https://t.co/IBl6eIxP38"
https://twitter.com/CDCtravel/status/1314326209224941569,Fri Aug 06 19:29:31 +0000 2010,10/8/2020 22:06,3,3,repNone,,FALSE,Yes,Travel; Prevention,"Travel increases your chance of getting and spreading #COVID19. If you get sick in a country with a Level 3 Travel Health Notice and need to go to the hospital, resources may be limited. Avoid nonessential travel. Check the COVID-19 risk: https://t.co/SBxTlr2uJa https://t.co/sZsWWj8UpV"
https://twitter.com/CDCtravel/status/1313821635041005568,Fri Aug 06 19:29:31 +0000 2010,10/7/2020 12:41,74,35,repNone,,FALSE,No,,"Got travel plans? Before you go, get vaccinated against #flu!  Getting a #fluvaccine this year is more important as ever. Flu vaccine not only can help protect you and your loved ones, but also help reduce the strain on hospitals and healthcare systems: https://t.co/jL2ywqtttO https://t.co/4QFgCEKSE8"
https://twitter.com/CDCtravel/status/1313463531308609540,Fri Aug 06 19:29:31 +0000 2010,10/6/2020 12:58,13,13,repNone,,FALSE,Yes,Travel; Prevention,"Have you recently been sick, had close contact with someone who was sick, recently tested positive for #COVID19, or are waiting for viral test results? #DoYourPart and delay travel during these situations to #SlowTheSpread. Learn more. https://t.co/PN7m52F5Rv https://t.co/Q6o1inHHGm"
